城市,编号,名称,地区,经纬度
北京市,BV11624885,榆树庄北(地铁站),丰台区,"116.251153,39.848068"
北京市,BV10013475,六里桥(地铁站),丰台区,"116.302808,39.880239"
北京市,BV10006707,惠新西街北口(地铁站),朝阳区,"116.417028,39.987836"
北京市,BV10000255,魏公村(地铁站),海淀区,"116.323220,39.957904"
北京市,BV11640696,德茂(地铁站),大兴区,"116.441467,39.772649"
北京市,BV11303301,郎辛庄(地铁站),朝阳区,"116.569826,39.856496"
北京市,BV10012008,小红门(地铁站),朝阳区,"116.459226,39.827951"
北京市,BV10002778,西钓鱼台(地铁站),海淀区,"116.298064,39.923481"
北京市,BV10013507,青年路(地铁站),朝阳区,"116.517429,39.923168"
北京市,BV10013458,万寿路(地铁站),海淀区,"116.294765,39.907474"
北京市,BV10000208,万寿寺(地铁站),海淀区,"116.309904,39.947773"
北京市,BV10874513,芳园里(地铁站),朝阳区,"116.479259,39.972009"
北京市,BV10000215,西局(地铁站),丰台区,"116.303819,39.866770"
北京市,BV10701094,北京朝阳站(地铁站),朝阳区,"116.508638,39.947098"
北京市,BV10001218,知春路(地铁站),海淀区,"116.339960,39.976476"
北京市,BV10013494,首经贸(地铁站),丰台区,"116.320202,39.844463"
北京市,BV11570037,朱房北(地铁站),海淀区,"116.333318,40.036122"
北京市,BV11103937,廖公庄(地铁站),海淀区,"116.227292,39.932422"
北京市,BV10013496,慈寿寺(地铁站),海淀区,"116.295467,39.933268"
北京市,BV11031728,北神树(地铁站),通州区,"116.552752,39.818664"
北京市,BV10007127,垡头(地铁站),朝阳区,"116.511821,39.860728"
北京市,BV10000258,人民大学(地铁站),海淀区,"116.321367,39.966956"
北京市,BV10003566,泥洼(地铁站),丰台区,"116.304173,39.858609"
北京市,BV10416595,将台(地铁站),朝阳区,"116.489496,39.971109"
北京市,BV11409823,宛平城(地铁站),丰台区,"116.231703,39.849181"
北京市,BV10847814,学院桥(地铁站),海淀区,"116.353473,39.986883"
北京市,BV11640690,瀛海(地铁站),大兴区,"116.448982,39.760713"
